ID,Title,Description,Type,Component,Severity
UI-0139,Language dropdown not displaying options,"The language selection dropdown is empty, preventing users from changing the application language.",ui,Interface,Critical
FEAT-0140,Error when importing language pack,"Importing a new language pack results in an error, blocking users from adding additional languages.",feature,Localization,High
INT-0141,Incomplete language integration in modules,"Certain modules do not fully support all languages, leading to partial translations and inconsistencies.",integration,Modules,Medium
SEC-0142,Language selection visible on restricted screens,"Language selection options are accessible on restricted screens, which might expose sensitive settings.",security,Settings,Low
MOB-0143,App crashes when changing language rapidly,"The mobile application crashes if the user rapidly changes languages, indicating a stability issue.",crash,Mobile,Critical
PERF-0144,Performance degradation with multiple languages enabled,"Enabling multiple languages causes a noticeable lag in application performance, affecting user experience.",performance,Core,Medium
FEAT-0145,Incorrect language fallback mechanism,"When a translation is missing, the application does not fall back to the default language correctly.",feature,Localization,High
UI-0201,Button color on settings page is incorrect,The save button on the settings page appears in a dull gray instead of the intended vibrant blue based on the design specifications.,ui,Dashboard,Low
PERF-0202,High CPU usage in report generation,"Generating monthly reports causes the CPU usage to spike to 100% for prolonged periods, affecting overall system performance.",performance,Reports,High
SEC-0203,Unauthorized access to admin panel,A security vulnerability allows unauthorized users to access the admin panel using a specific URL pattern.,security,Authentication,Critical
INT-0204,API timeout during data sync,"The data synchronization API frequently times out when syncing large datasets, causing incomplete data transfers.",integration,API,Medium
DATA-0205,Incorrect user data displayed on profile page,"User profiles occasionally display outdated information due to caching issues, leading to user confusion.",data,User Profile,Medium
UI-0206,Misaligned text in footer section,"The text in the footer section appears misaligned when viewed on smaller screen devices, affecting readability.",ui,Dashboard,Low
CRASH-0207,Application crash on logout,"Logging out of the application occasionally results in a crash, with a stack trace pointing to session management issues.",crash,Authentication,High
UI-0208,Dropdown menu not displaying correctly on mobile,"The dropdown menu in the navigation bar does not expand properly on mobile devices, making it difficult to access sub-menu items.",ui,Navigation,Medium
DATA-0209,Exported CSV contains duplicate entries,"Exporting user data to CSV occasionally results in duplicate entries, indicating an issue in the export logic.",data,Reports,Medium
INT-0210,Payment gateway integration failure,Transactions intermittently fail due to an integration issue with the third-party payment gateway API.,integration,Payments,Critical
PERF-0211,Slow response time in search functionality,"The search feature takes an unusually long time to return results, especially when querying large datasets.",performance,Search,High
UI-0212,Incorrect tooltip positioning,"Tooltips appear partially off-screen on the right side of the window, making them hard to read.",ui,Dashboard,Low
SEC-0213,Sensitive data exposure in logs,Application logs contain sensitive user information that should be masked or removed to ensure data privacy.,security,Logging,Critical
CRASH-0214,Crash when uploading large files,"Uploading files larger than 2GB causes the application to crash, potentially due to insufficient memory handling.",crash,File Upload,High
UI-0215,Image distortion in gallery view,Images appear distorted in the gallery view due to incorrect aspect ratio handling when resizing.,ui,Gallery,Medium
DATA-0216,Language preference not saved,"The selected language preference for the user is not being saved, resulting in default language being used on subsequent logins.",data,User Settings,Medium
UI-0217,Language switcher not updating immediately,"When changing the language via the language switcher, the UI does not update until a page refresh is performed.",ui,Dashboard,Low
INT-0218,Translation API occasional timeout,"The translation API sometimes experiences timeouts, resulting in untranslated content being displayed to the user.",integration,API,Medium
PERF-0219,Slow loading of language assets,"Language-specific assets take a long time to load, especially on pages with heavy content, affecting user experience.",performance,Assets,High
DATA-0220,Incorrect language displayed for new users,Newly registered users are sometimes shown the wrong language due to a default setting bug.,data,User Profile,Medium
SEC-0221,Security loophole in language switching,The language switching mechanism can be exploited to access restricted content in a different language.,security,Authentication,High
UI-0222,Misaligned text in translated content,"Text in certain languages appears misaligned on the page, likely due to CSS not accommodating variable text lengths.",ui,Dashboard,Low
INT-0223,Failure to load fallback language,"In cases where a preferred language is unavailable, the system fails to load a fallback language, showing placeholders instead.",integration,API,Medium
PERF-0224,Performance degradation with multiple languages enabled,Enabling support for multiple languages causes a noticeable slowdown in application performance due to increased resource usage.,performance,System,High
UI-0225,Inconsistent font styles in translated content,"Translated content displays with inconsistent font styles, which could be due to incorrect stylesheet linking.",ui,Dashboard,Low
DATA-0226,Language setting reset after update,"After a system update, user-defined language settings are reset to default, requiring reconfiguration.",data,User Settings,Medium
CRASH-0227,Crash during language preference update,Attempting to update the language preference in user settings occasionally crashes the application due to a null reference error.,crash,User Settings,High
SEC-0228,Language files exposed in public directory,"Language files are accessible via direct URLs, potentially exposing sensitive information and internal commentaries.",security,Assets,Critical
UI-0229,Language dropdown not accessible via keyboard,"Users are unable to use keyboard navigation to change languages via the dropdown, impacting accessibility.",ui,Dashboard,Medium
INT-0230,Error in language-specific API responses,Certain API responses return errors when queried in specific languages due to incorrect parameter handling.,integration,API,High
DATA-0231,Multi-language support not enabled for notifications,"System notifications are sent only in the default language, ignoring user language preferences.",data,Notifications,Medium
UI-0232,Language switcher missing in mobile view,"The language switcher is not present in the mobile view of the application, preventing users from changing languages.",ui,Dashboard,High
CRASH-0233,Crash when switching languages on settings page,Switching languages on the user settings page sometimes results in an application crash due to a race condition.,crash,User Settings,Critical
PERF-0234,Performance impact due to language pack loading,"Loading multiple language packs simultaneously causes significant performance degradation, especially during peak usage times.",performance,System,High
SEC-0235,Language switch causes session termination,"Switching languages unexpectedly terminates user sessions, requiring them to log in again.",security,Authentication,High
UI-0236,Incorrect language displayed after update,"After updating the application, users are shown content in a different language than selected, due to a caching issue.",ui,Dashboard,Medium
INT-0237,Failure to load language resources on startup,"At application startup, language resources sometimes fail to load, resulting in missing translations across the UI.",integration,API,Critical
DATA-0238,Missing translations for new features,"Newly added features do not have translations available, leading to a mix of languages in the UI.",data,Feature Updates,Medium
UI-0239,Language-specific UI elements not rendering,"Certain UI elements do not render properly when displayed in specific languages, due to encoding issues.",ui,Dashboard,High
CRASH-0240,App crash on loading large language files,"The application crashes when attempting to load large language files, indicating a potential memory management issue.",crash,Assets,Critical
SEC-0241,Language preference reset exposes user data,Resetting language preferences inadvertently exposes sensitive user data due to improper session handling.,security,Authentication,Critical
UI-0242,Inconsistent language display on dashboard,"The dashboard displays a mix of languages, with some sections not updating to the selected language.",ui,Dashboard,Medium
INT-0243,Language switching API returning errors,"The API responsible for language switching returns 500 errors under high load, affecting multilingual support.",integration,API,High
PERF-0244,Degraded performance with language switching,"Switching languages frequently leads to degraded performance, with increased load times and UI lag.",performance,System,High
DATA-0245,Incomplete translations in non-English languages,"Non-English languages have incomplete translations across the application, leading to inconsistent user experience.",data,Content,Medium
UI-0301,Button color on settings page is incorrect,The 'Save' button on the settings page appears in blue instead of the designated green.,ui,User Interface,Low
SEC-0302,Weak password policy enforcement,The system allows passwords that are less than 6 characters and do not include special characters.,security,Authentication,High
PERF-0303,Dashboard charts load slowly on initial access,Users experience a delay of up to 10 seconds when accessing the dashboard charts for the first time.,performance,Dashboard,Medium
DATA-0304,Incorrect data display in user profile,User profiles are showing outdated information due to cache not refreshing correctly.,data,Profile,Medium
INT-0305,Payment gateway integration fails intermittently,The payment gateway service sometimes returns a 500 error during checkout.,integration,Payments,Critical
API-0306,404 error on fetching user settings endpoint,The API endpoint for fetching user settings returns a 404 error due to incorrect routing.,api,Settings,High
UI-0307,Misalignment of text in footer,"Text in the footer of the website is misaligned on small screen devices, affecting readability.",ui,User Interface,Low
CRA-0308,Application crash on accessing notifications,The app crashes with a NullPointerException when users attempt to access notifications.,crash,Notifications,Critical
SEC-0309,SQL injection vulnerability in search feature,The search input is vulnerable to SQL injection attacks due to improper sanitization.,security,Search,Critical
PERF-0310,Slow response time on inventory page,"The inventory page takes longer than 5 seconds to respond, affecting user experience.",performance,Inventory,Medium
DATA-0311,Incorrect total calculations in order summary,The order summary page sometimes shows incorrect totals due to a rounding error.,data,Orders,High
INT-0312,API integration with external service fails,"The third-party API integration fails to authenticate, returning an invalid token error.",integration,External Services,High
UI-0313,Image carousel not rotating automatically,The image carousel on the homepage does not rotate images automatically as expected.,ui,Homepage,Low
CRA-0314,Crash when accessing user statistics,Accessing user statistics causes the application to crash with an ArrayIndexOutOfBoundsException.,crash,Statistics,Critical
API-0315,Incorrect API response for product details,"The API returns incomplete data when fetching product details, missing the 'description' field.",api,Products,High
FEA-0316,Inconsistent notification preferences behavior,Users report that changing notification preferences does not always save correctly.,feature,Notifications,Medium
UI-0317,Share button misaligned on mobile,"The share button on the article page is misaligned on mobile devices, affecting user interaction.",ui,Article,Low
PERF-0318,Performance lag when sharing large files,Users experience noticeable lag when attempting to share large files via email.,performance,File Sharing,Medium
INT-0319,Intermittent failure in email sharing feature,"The email sharing feature fails intermittently, returning a 'failed to send' error.",integration,Email Service,High
DATA-0320,Shared content not appearing in history,Content shared via the platform does not consistently appear in the user's sharing history.,data,User History,Medium
SEC-0321,Unauthorized access to sharing settings,Users without permission can access and modify sharing settings due to a security loophole.,security,Settings,Critical
API-0322,API returns error on sharing status update,The sharing status update API returns a 500 error due to a server misconfiguration.,api,Status,High
UI-0323,Broken layout on sharing settings page,"The layout of the sharing settings page breaks on small screens, causing overlapping text.",ui,Settings,Low
FEA-0324,Sharing options missing for video content,Users report that video content lacks expected sharing options such as Facebook and Twitter.,feature,Video,Medium
PERF-0325,Delay in sharing content to social media,There is a 5-10 second delay when users share content to social media platforms.,performance,Social Media,Medium
INT-0326,Integration issue with Facebook sharing API,"The Facebook sharing API fails to authenticate, preventing users from sharing content.",integration,Social Media,High
DATA-0327,Incorrect sharing statistics reported,"The system reports incorrect statistics for shared content, affecting analytics accuracy.",data,Analytics,High
SEC-0328,Sharing links can be accessed without permission,"Shared links are accessible without proper authentication, leading to potential data exposure.",security,Links,Critical
FEA-0329,Social media sharing options not visible,Users report that the social media sharing options are not visible on the article page.,feature,Articles,High
INT-0330,Failed integration with Twitter sharing API,The Twitter sharing API integration fails to post updates due to an authentication error.,integration,Social Media,Critical
UI-0331,Social media icons not displaying correctly,Icons for sharing to social media platforms are not displaying correctly in the browser.,ui,User Interface,Medium
PERF-0332,Slow performance when loading sharing options,There is a noticeable slowdown when loading social media sharing options on the page.,performance,Performance,Medium
DATA-0333,Shared content not updating on social media,Content shared to social media platforms does not update as expected when edited.,data,Content Management,High
SEC-0334,Social media sharing exposes user data,Sharing to social media inadvertently exposes sensitive user data due to misconfigured privacy settings.,security,Privacy,Critical
FEA-0335,Inconsistent social media sharing settings,The settings for social media sharing are inconsistent across different user accounts.,feature,Settings,High
API-0336,API error when fetching sharing options,The API returns a 503 Service Unavailable error when attempting to fetch available sharing options.,api,API,Critical
UI-0337,Missing tooltips on social sharing buttons,"Tooltips do not appear when hovering over social sharing buttons, impacting usability.",ui,Tooltips,Low
INT-0338,Integration issue with LinkedIn sharing API,"The LinkedIn sharing API integration fails to post updates, causing user frustration.",integration,Social Media,High
FEA-0339,Delayed social media sharing update,"Updates to shared posts on social media are delayed by several minutes, confusing users.",feature,Updates,Medium
PERF-0340,Excessive load time for social media integration,"The integration with social media platforms causes excessive load times, impacting performance.",performance,Integration,Medium
SEC-0341,Unauthorized access through social media login,Users can bypass authentication using social media login due to a flaw in the integration.,security,Authentication,Critical
DATA-0342,Incorrect metadata displayed in shared posts,"Shared posts on social media display incorrect metadata, leading to misinformation.",data,Metadata,High
INT-0343,Error in Instagram sharing integration,The Instagram sharing feature returns an error due to a misconfigured API endpoint.,integration,Social Media,Critical
FEA-0344,Missing integration with Pinterest sharing,"The integration for sharing content to Pinterest is missing, limiting user engagement.",feature,Social Media,High
UI-0345,Inconsistent iconography for sharing options,"Icons for social media sharing are inconsistent across different pages, confusing users.",ui,User Interface,Medium
UI-0401,Dashboard chart colors are incorrect,"The colors used in the dashboard charts do not match the defined color scheme, causing confusion for users.",ui,Dashboard,Low
DB-0402,Database connection timeout,The application experiences a timeout when attempting to connect to the database during peak usage hours.,performance,Database,High
SEC-0403,Vulnerability in password reset,An issue in the password reset process allows unauthorized users to reset passwords without verification.,security,Authentication,Critical
INT-0404,API integration failure with third-party service,The application fails to integrate with a third-party service due to incorrect API key configuration.,integration,API,Medium
UI-0405,Mobile app icon missing,"The icon for the mobile application is not displaying properly, appearing as a blank square on the home screen.",ui,Mobile,Low
PERF-0406,Application runs slowly on initial load,Users experience significant lag and high loading times when first launching the application.,performance,Frontend,Medium
NET-0407,Network request latency in chat feature,Messages in the chat feature are delayed due to high network request latency impacting user communication.,performance,Chat,High
DATA-0408,Incorrect data displayed in reports,Reports generated by the system show inaccurate figures due to a data aggregation error.,data,Reporting,Critical
UI-0409,Misaligned text on settings page,"Text on the settings page appears misaligned, making it difficult for users to read and interact with options.",ui,Settings,Low
SEC-0410,Session hijacking vulnerability,A vulnerability in session management allows attackers to hijack user sessions without detection.,security,Session,Critical
CRASH-0411,Application crash on accessing help section,"Accessing the help section causes the application to crash unexpectedly, requiring a restart.",crash,Help,High
DATA-0412,Data sync failure with cloud service,"The application fails to sync data with the cloud service, leading to data inconsistency across devices.",data,Cloud,Medium
UI-0413,Button size inconsistency on forms,"Buttons on various forms are inconsistent in size, resulting in a poor user interface experience.",ui,Forms,Low
NET-0414,API timeout during file uploads,"Large file uploads frequently result in API timeouts, causing failure in the upload process.",performance,API,High
SEC-0415,Weak encryption in data storage,"Data stored by the application uses weak encryption standards, making it vulnerable to unauthorized access.",security,Data Storage,Critical
UI-0416,Profile picture upload fails intermittently,Users report that uploading a profile picture fails intermittently due to server-side validation errors.,ui,User Profile,Medium
UI-0417,User avatar not displaying correctly,"The user avatar on the profile page sometimes fails to display, showing a broken image icon instead.",ui,User Profile,Low
DATA-0418,User data not updating in real-time,"Changes to user data do not reflect in real-time, causing discrepancies in profile information.",data,User Profile,High
SEC-0419,Insecure API endpoint for profile data,The API endpoint responsible for fetching user profile data lacks proper authentication checks.,security,API,Critical
INT-0420,Integration with social media for profile,"There is a failure in integrating social media accounts with user profiles, preventing social login.",integration,Social Media,Medium
UI-0421,Profile settings not saving,"Users are unable to save changes to their profile settings, which revert to default values upon refresh.",ui,User Profile,High
DATA-0422,Profile data inconsistency across devices,User profile data appears inconsistent when accessed from different devices due to sync issues.,data,Sync,Medium
UI-0423,Profile theme settings not applying,"User-selected themes for their profile are not applying correctly, defaulting to a standard layout.",ui,User Profile,Low
CRASH-0424,App crash when editing profile details,Editing certain fields in the user profile causes the application to crash unexpectedly.,crash,User Profile,High
NET-0425,Profile update delays due to network issues,Updates to user profiles are delayed or lost due to intermittent network connectivity issues.,performance,Network,Medium
UI-0426,Profile update confirmation not displayed,"After updating profile information, users do not receive confirmation, leading to uncertainty about changes.",ui,User Profile,Low
SEC-0427,Profile data exposed in logs,"Sensitive profile data is being logged in plain text, exposing it to potential security breaches.",security,Logging,Critical
UI-0428,Profile customization options not visible,The profile customization options are not visible to users due to a CSS display issue.,ui,User Profile,High
CRASH-0429,Application crash when accessing profile customization,Accessing the profile customization section causes the application to crash due to a null pointer exception.,crash,User Profile,Critical
FEATURE-0430,User profile customization options incomplete,"The profile customization options are incomplete, preventing users from fully personalizing their profiles.",feature,User Profile,Medium
SEC-0431,Unauthorized access to profile customization settings,Users can access and modify other users' profile customization settings due to a permission error.,security,User Profile,Critical
UI-0432,Profile customization UI not loading,"The UI for profile customization fails to load, leaving users unable to change their profile settings.",ui,User Profile,High
DATA-0433,Profile customization data not saved,"Changes made to profile customization are not being saved to the database, reverting to defaults on reload.",data,User Profile,High
INT-0434,Integration issues with profile customization API,"The profile customization API is not properly integrated, causing failures in applying user customizations.",integration,API,Medium
PERF-0435,Slow performance in profile customization,Users experience slow performance and lag when accessing and using profile customization features.,performance,User Profile,Medium
UI-0436,Customization options not responsive,"The profile customization options are not responsive on mobile devices, causing usability issues.",ui,User Profile,Low
SEC-0437,Profile customization settings exposed,"Profile customization settings are exposed through an insecure endpoint, allowing unauthorized modifications.",security,User Profile,Critical
UI-0438,Incorrect theme applied in profile customization,Applying a theme in profile customization sometimes results in incorrect or default themes being applied.,ui,User Profile,Medium
UI-0439,Layout issues in profile customization preview,"The layout in the profile customization preview is distorted, not accurately representing the final appearance.",ui,User Profile,Medium
SEC-0440,Security flaw in profile customization access,A security flaw allows unauthorized users to access and modify profile customization settings.,security,User Profile,Critical
INT-0441,Failure in third-party theme integration,Profile customization fails when using third-party themes due to integration errors.,integration,User Profile,Medium
UI-0442,Customization options missing after update,"After a recent update, several profile customization options are missing, limiting user customization potential.",ui,User Profile,High
DATA-0443,Corrupted data in profile customization settings,Corrupted data in profile customization settings leads to incorrect application of user preferences.,data,User Profile,High
UI-0444,Profile customization preview not updating,The preview in profile customization does not update to reflect changes made by the user.,ui,User Profile,Medium
INT-0445,Profile customization API response delay,"There is a significant delay in the response from the profile customization API, affecting user experience.",integration,API,Medium
UI-0501,Button color inconsistency on settings page,The save button on the settings page displays a different color when hovered over compared to the rest of the buttons.,ui,Dashboard,Low
PER-0502,Slow loading of analytics dashboard,The analytics dashboard takes over 10 seconds to load due to inefficient database queries when the data set is large.,performance,Dashboard,Medium
SEC-0503,Weak encryption in password reset emails,"Password reset emails are being sent using outdated encryption methods, making them vulnerable to interception.",security,Email,High
API-0504,API timeout when fetching user profile data,"Requests to the /user/profile API endpoint frequently result in timeouts, especially during peak usage times.",integration,API,Critical
DATA-0505,Data corruption in user transaction logs,"User transaction logs occasionally record incorrect timestamps, leading to inaccurate reporting.",data,Database,High
UI-0506,Misaligned text on mobile login screen,"Text fields on the mobile login screen appear misaligned on devices with smaller screens, affecting usability.",ui,Mobile,Low
PER-0507,High CPU usage when generating reports,"Generating user reports results in excessive CPU usage, causing server slowdowns and potential crashes.",performance,Reports,High
SEC-0508,Session ID not invalidated on logout,"Logging out does not invalidate the user's session ID, potentially allowing unauthorized access if intercepted.",security,Authentication,Critical
UI-0509,Dropdown menu overlaps with footer on small screens,"In the web app, the dropdown menu overlaps with the footer section on screens smaller than 768px.",ui,Web,Low
CRA-0510,App crashes during user onboarding,The application crashes unexpectedly when a new user completes the onboarding process due to a NullPointerException.,crash,Onboarding,Critical
DATA-0511,Incorrect data in analytics export,"Exporting analytics data results in missing or incorrect fields, leading to inaccurate external reporting.",data,Analytics,Medium
UI-0512,UI flickers on scrolling in activity feed,"The UI flickers when scrolling through the activity feed, distracting users and causing discomfort.",ui,Feed,Medium
PER-0513,Slow image loading in gallery view,Images take a long time to load in the gallery view due to inefficient caching strategies.,performance,Gallery,Low
SEC-0514,Insecure storage of API keys in client,"API keys are stored insecurely in the client-side code, making them susceptible to exposure through decompilation.",security,Client,High
